x1,y1,theta1,,x2,y2,theta2,,x3,y3,theta3,,,
10.88228377,28.66804507,0.837758041,,9.522453873,27.46098379,0.882554825,,10.46996104,27.46511638,0.849975346,,,
11.01426217,28.81224254,0.829613171,,9.646616869,27.61196313,0.882554825,,10.5989761,27.61197115,0.849975346,,,
11.13025613,28.937944,0.825540736,,9.755796584,27.74362651,0.87848239,,10.72918299,27.75777024,0.841830476,,,
11.26282067,29.08160281,0.825540736,,9.896858725,27.91233494,0.874409955,,10.8436326,27.88487942,0.837758041,,,
11.39655087,29.22417715,0.817395866,,9.991813096,28.02403755,0.866265085,,10.95859891,28.01152145,0.833685606,,,
11.51407188,29.34845213,0.813323431,,10.10312299,28.15390504,0.86219265,,11.08998898,28.1562552,0.833685606,,,
11.6483816,29.49048067,0.813323431,,10.2303343,28.30232502,0.86219265,,11.22255351,28.29991401,0.825540736,,,
11.78384366,29.63141059,0.805178562,,10.34217215,28.43173813,0.858120216,,11.33905843,28.42514205,0.821468301,,,
11.90287416,29.75424054,0.801106127,,10.47118722,28.57859289,0.849975346,,11.45607236,28.5498946,0.817395866,,,
12.02240389,29.87658472,0.797033692,,10.58459776,28.70663002,0.845902911,,11.59095936,28.691375,0.809250997,,,
12.22901343,30.08464173,0.788888822,,10.69852879,28.83420423,0.841830476,,11.70948866,28.81468867,0.805178562,,,
12.36675312,30.2233464,0.788888822,,10.79618395,28.94355355,0.841830476,,11.82851917,28.93751862,0.801106127,,,
12.48776861,30.34422117,0.784816387,,10.92757402,29.0882873,0.833685606,,11.96455402,29.07789571,0.801106127,,,
12.66204858,30.51548561,0.776671517,,11.06013855,29.23194611,0.825540736,,12.08408376,29.2002399,0.797033692,,,
12.78453176,30.6348729,0.772599082,,11.19270308,29.37560492,0.825540736,,12.20411073,29.32209629,0.792961257,,,
12.90750013,30.75376041,0.768526647,,11.309208,29.50083296,0.821468301,,12.34241415,29.46023888,0.784816387,,,
13.06622349,30.90597064,0.764454212,,11.44235647,29.64395072,0.821468301,,12.46392089,29.58061982,0.780743952,,,
13.19015609,31.02385265,0.760381777,,11.57666619,29.78597927,0.813323431,,12.62077285,29.73475781,0.776671517,,,
13.31456772,31.14122897,0.756309343,,11.69469232,29.90977462,0.809250997,,12.74325604,29.85414511,0.772599082,,,
13.45784031,31.27421083,0.748164473,,11.79671847,30.01505743,0.801106127,,12.84824163,29.95647708,0.772599082,,,
13.58367665,31.39005846,0.744092038,,11.93275333,30.15543452,0.801106127,,13.00634381,30.10933244,0.768526647,,,
13.72748961,31.52245575,0.744092038,,12.05228306,30.27777871,0.797033692,,13.14798106,30.24405473,0.760381777,,,
13.85379668,31.63778996,0.740019603,,12.18888847,30.41760064,0.797033692,,13.2723927,30.36143106,0.756309343,,,
13.99921641,31.7684204,0.731874733,,12.30990396,30.5384754,0.784816387,,13.37903125,30.46203934,0.756309343,,,
14.12692309,31.88220291,0.727802298,,12.43141069,30.65885633,0.780743952,,13.52230383,30.5950212,0.748164473,,,
14.25509209,31.9954644,0.723729863,,12.53555933,30.76203999,0.780743952,,13.68409341,30.74396815,0.744092038,,,
14.38372128,32.10820299,0.719657428,,12.69241129,30.91617799,0.776671517,,13.81040049,30.85930236,0.740019603,,,
14.51280851,32.22041682,0.715584993,,12.83294657,31.05204942,0.768526647,,13.9371762,30.97412123,0.735947168,,,
14.67936399,32.36401464,0.711512558,,12.97348184,31.18792085,0.768526647,,14.06441846,31.08842287,0.731874733,,,
14.82844801,32.49044708,0.703367689,,13.07970978,31.28896258,0.760381777,,14.19212515,31.20220538,0.727802298,,,
14.97753204,32.61687953,0.703367689,,13.20412142,31.4063389,0.756309343,,14.33912993,31.33104948,0.719657428,,,
15.18322884,32.78988789,0.699295254,,13.34630615,31.54048327,0.756309343,,14.46821717,31.44326331,0.715584993,,,
15.40915512,32.97679037,0.691150384,,13.48957873,31.67346513,0.748164473,,14.61574544,31.57150768,0.715584993,,,
15.58029973,33.11488666,0.678933079,,13.61541507,31.78931276,0.744092038,,14.74528859,31.68319487,0.711512558,,,
15.73242827,33.23763891,0.678933079,,13.74172215,31.90464697,0.740019603,,14.8752855,31.79435359,0.707440123,,,
